"Alcohol","Alcohol_12months","Alcohol_ever","Marijuana","Marijuana_30days","Marijuana_12months","Marijuana_ever","Heroin","Heroin_30days","Heroin_12months","Heroin_ever","Cocaine","Cocaine_30days","Cocaine_12months","Cocaine_ever","Highest_Year_Education_Before_Prison","Race","Age","Sex","State","Crime_type","time_of_use","drug_type","val_num_drugs","num_drugs","Age_group","used_any_ever","used_any_12months"
2,0,1,0,1,2,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",47,"Male","TX","Property","Past 30 days","Marijuana",1,"Marijuana","45-55",1,0
0,0,2,2,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",26,"Male","TX","Violent","Past 30 days","Marijuana",1,"Marijuana","25-34",1,0
2,0,1,2,2,1,1,1,1,1,1,0,0,0,2,"Less Than High School","White",18,"Male","MO","Property","At the time of Arrest","Heroin",1,"Heroin","<18",1,1
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",24,"Male","TX","Public order","At the time of Arrest","Marijuana",1,"Marijuana","18-24",1,1
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","2+ Races",21,"Male","IL","Property","At the time of Arrest","Marijuana",1,"Marijuana","18-24",1,1
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"Some College","Black",53,"Male","MS","Violent","Never used","",0,"None","45-55",0,0
1,1,1,0,0,0,2,0,0,0,2,0,0,0,2,"Some College","White",24,"Male","IL","Public order","At the time of Arrest","Alcohol",1,"Alcohol","18-24",1,1
1,2,1,1,2,2,1,0,0,0,2,2,2,2,1,"Less Than High School","White",49,"Male","MO","Drug","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","45-55",1,0
1,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"Less Than High School","American Indian/Alaska Native",48,"Male","SD","Violent","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,0
1,1,1,1,1,1,1,0,0,0,2,1,1,1,1,"Some College","Hispanic",31,"Female","CA","Property","At the time of Arrest","Marijuana,Cocaine,Alcohol",3,"More than one drug","25-34",1,1
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,"Less Than High School","Hispanic",38,"Female","NV","Property","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","35-44",1,0
1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,"Less Than High School","White",34,"Male","MO","Property","At the time of Arrest","Alcohol",1,"Alcohol","25-34",1,1
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",38,"Male","CA","Drug","More than a year ago","Alcohol",1,"Alcohol","35-44",1,0
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","White",38,"Female","FL","Property","Past 30 days","Marijuana",1,"Marijuana","35-44",1,1
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,"Some College","2+ Races",28,"Female","KS","Drug","Past 30 days","Marijuana",1,"Marijuana","25-34",1,1
1,2,1,1,2,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",28,"Male","AR","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","25-34",1,0
2,0,1,2,2,2,1,0,0,0,2,0,0,0,2,"Some College","White",40,"Male","TX","Drug","More than a year ago","Marijuana,Alcohol",2,"More than one drug","35-44",1,0
1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,"High School Graduate","White",41,"Male","VT","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","35-44",1,1
2,1,1,2,1,2,1,0,0,0,2,2,1,2,1,"Less Than High School","White",40,"Female","NC","Drug","Past 30 days","Marijuana,Cocaine",2,"More than one drug","35-44",1,1
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",46,"Male","IL","Drug","More than a year ago","Marijuana",1,"Marijuana","45-55",1,0
2,0,1,2,1,0,1,0,0,0,2,2,2,0,1,"Less Than High School","American Indian/Alaska Native",47,"Male","CA","Violent","Past 30 days","Marijuana",1,"Marijuana","45-55",1,0
2,2,1,0,2,2,1,0,0,0,2,0,2,1,1,"Some College","White",54,"Male","TX","Violent","Past 12 months","Cocaine",1,"Cocaine","45-55",1,1
2,2,1,0,2,0,1,0,0,0,2,0,2,0,1,"Some College","2+ Races",33,"Male","OR","Violent","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","25-34",1,0
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","White",28,"Male","FL","Violent","Past 30 days","Marijuana",1,"Marijuana","25-34",1,0
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,"High School Graduate","White",23,"Male","MO","Violent","At the time of Arrest","Alcohol",1,"Alcohol","18-24",1,0
1,1,1,0,1,1,1,0,0,0,2,0,2,1,1,"Less Than High School","Hispanic",26,"Female","TX","Public order","At the time of Arrest","Alcohol",1,"Alcohol","25-34",1,1
2,2,1,0,2,0,1,0,0,0,2,0,0,0,2,"College Degree or More","White",70,"Male","FL","Public order","More than a year ago","Marijuana,Alcohol",2,"More than one drug","55+",1,0
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","2+ Races",38,"Female","TX","Drug","Past 30 days","Marijuana",1,"Marijuana","35-44",1,0
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,"High School Graduate","Black",47,"Female","MI","Violent","More than a year ago","Marijuana",1,"Marijuana","45-55",1,0
2,2,1,2,2,0,1,0,0,0,2,2,2,0,1,"High School Graduate","White",39,"Male","OR","Violent","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","35-44",1,0
2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,"Less Than High School","Black",68,"Male","NY","Violent","Past 30 days","Marijuana,Heroin,Cocaine",3,"More than one drug","55+",1,0
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",37,"Male","TX","Other","More than a year ago","Alcohol",1,"Alcohol","35-44",1,0
2,1,1,0,2,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",31,"Male","MO","Violent","Past 12 months","Marijuana,Alcohol",2,"More than one drug","25-34",1,1
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"Less Than High School","White",48,"Male","MS","Public order","More than a year ago","Marijuana,Alcohol",2,"More than one drug","45-55",1,0
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"High School Graduate","White",46,"Male","NC","Violent","More than a year ago","Alcohol",1,"Alcohol","45-55",1,0
1,2,1,1,1,1,1,0,0,0,2,2,2,2,1,"High School Graduate","White",21,"Female","NE","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","18-24",1,1
2,0,1,0,2,2,1,0,2,2,1,0,2,2,1,"Less Than High School","Hispanic",66,"Male","TX","Property","More than a year ago","Marijuana,Heroin,Cocaine,Alcohol",4,"More than one drug","55+",1,0
1,1,1,2,2,2,1,0,0,0,2,2,2,2,1,"Some College","White",37,"Female","MS","Public order","At the time of Arrest","Alcohol",1,"Alcohol","35-44",1,1
2,0,1,2,1,1,1,2,2,2,1,2,2,2,1,"Less Than High School","2+ Races",32,"Male","OH","Public order","Past 30 days","Marijuana",1,"Marijuana","25-34",1,1
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","2+ Races",48,"Male","MI","Drug","Never used","",0,"None","45-55",0,0
1,1,1,1,1,1,1,0,0,0,2,0,0,0,2,"High School Graduate","Black",41,"Male","IL","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","35-44",1,1
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",33,"Male","CA","Drug","Never used","",0,"None","25-34",0,0
1,1,1,1,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",36,"Male","IL","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","35-44",1,1
2,1,1,0,2,1,1,0,0,0,2,0,0,0,2,"College Degree or More","Hispanic",42,"Male","NY","Property","Past 12 months","Marijuana,Alcohol",2,"More than one drug","35-44",1,1
2,2,1,0,0,0,2,0,0,0,2,0,0,0,2,"College Degree or More","Hispanic",28,"Female","CA","Public order","More than a year ago","Alcohol",1,"Alcohol","25-34",1,0
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","Black",24,"Male","MI","Violent","Never used","",0,"None","18-24",0,0
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","White",29,"Male","FL","Property","Past 30 days","Marijuana",1,"Marijuana","25-34",1,0
2,0,1,1,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",25,"Male","CA","Violent","At the time of Arrest","Marijuana",1,"Marijuana","25-34",1,0
1,2,1,0,2,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",36,"Male","TX","Drug","At the time of Arrest","Alcohol",1,"Alcohol","35-44",1,1
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",25,"Male","NC","Public order","Past 30 days","Marijuana",1,"Marijuana","25-34",1,1
0,0,2,0,2,2,1,0,0,0,2,0,2,2,1,"Less Than High School","Hispanic",44,"Male","TX","Violent","More than a year ago","Marijuana,Cocaine",2,"More than one drug","35-44",1,0
2,2,1,0,1,1,1,0,0,0,2,0,2,2,1,"Less Than High School","Hispanic",50,"Male","TX","Drug","Past 30 days","Marijuana",1,"Marijuana","45-55",1,1
0,0,2,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",33,"Male","TX","Violent","At the time of Arrest","Marijuana",1,"Marijuana","25-34",1,1
0,0,2,0,2,2,1,0,0,0,2,0,0,0,2,"Less Than High School","2+ Races",49,"Female","TN","Public order","More than a year ago","Marijuana",1,"Marijuana","45-55",1,0
1,1,1,0,2,2,1,0,0,0,2,0,2,2,1,"Less Than High School","White",47,"Male","NY","Public order","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,1
1,1,1,0,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",41,"Male","VA","Drug","At the time of Arrest","Alcohol",1,"Alcohol","35-44",1,1
1,1,1,1,1,1,1,0,0,0,2,1,2,1,1,"Less Than High School","American Indian/Alaska Native",26,"Male","IL","Property","At the time of Arrest","Marijuana,Cocaine,Alcohol",3,"More than one drug","25-34",1,1
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","White",53,"Male","PA","Violent","Past 30 days","Marijuana",1,"Marijuana","45-55",1,0
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",44,"Male","CA","Violent","Past 30 days","Marijuana",1,"Marijuana","35-44",1,0
2,0,1,2,2,2,1,0,0,0,2,0,0,0,2,"High School Graduate","Hispanic",32,"Female","CT","Violent","More than a year ago","Marijuana,Alcohol",2,"More than one drug","25-34",1,0
2,0,1,0,1,0,1,0,2,0,1,0,2,0,1,"Less Than High School","White",27,"Female","IN","Drug","Past 30 days","Marijuana",1,"Marijuana","25-34",1,0
2,1,1,0,1,1,1,0,1,1,1,0,2,2,1,"Less Than High School","Hispanic",24,"Male","TX","Property","Past 30 days","Marijuana,Heroin",2,"More than one drug","18-24",1,1
0,0,2,0,1,2,1,0,0,0,2,0,0,0,2,"High School Graduate","Black",30,"Female","TX","Property","Past 30 days","Marijuana",1,"Marijuana","25-34",1,0
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,"Less Than High School","White",44,"Male","MO","Public order","More than a year ago","Marijuana,Alcohol",2,"More than one drug","35-44",1,0
2,0,1,1,1,0,1,0,0,0,2,2,2,0,1,"High School Graduate","Hispanic",26,"Male","FL","Violent","At the time of Arrest","Marijuana",1,"Marijuana","25-34",1,0
1,0,1,1,1,0,1,0,0,0,2,2,2,0,1,"Less Than High School","Black",34,"Male","AL","Drug","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","25-34",1,0
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,"Less Than High School","Hispanic",51,"Male","NM","Violent","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","45-55",1,0
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",40,"Male","MO","Public order","More than a year ago","Marijuana,Alcohol",2,"More than one drug","35-44",1,0
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","Black",78,"Male","FL","Violent","More than a year ago","Alcohol",1,"Alcohol","55+",1,0
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"Some College","White",44,"Male","CO","Public order","More than a year ago","Alcohol",1,"Alcohol","35-44",1,0
2,2,1,0,1,1,1,0,0,0,2,0,2,2,1,"Less Than High School","Black",50,"Male","FL","Violent","Past 30 days","Marijuana",1,"Marijuana","45-55",1,1
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"High School Graduate","2+ Races",23,"Male","MI","Violent","Never used","",0,"None","18-24",0,0
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","American Indian/Alaska Native",49,"Female","FL","Violent","More than a year ago","Alcohol",1,"Alcohol","45-55",1,0
1,0,1,1,1,1,1,0,0,0,2,1,1,1,1,"High School Graduate","2+ Races",36,"Male","NC","Drug","At the time of Arrest","Marijuana,Cocaine,Alcohol",3,"More than one drug","35-44",1,1
2,0,1,0,2,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",23,"Male","MI","Property","Past 12 months","Marijuana",1,"Marijuana","18-24",1,1
2,0,1,1,1,0,1,0,0,0,2,2,1,0,1,"Less Than High School","White",42,"Male","MS","Drug","At the time of Arrest","Marijuana",1,"Marijuana","35-44",1,0
2,0,1,2,2,0,1,2,2,0,1,2,2,0,1,"High School Graduate","White",43,"Male","GA","Property","More than a year ago","Marijuana,Heroin,Cocaine,Alcohol",4,"More than one drug","35-44",1,0
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"Some College","White",56,"Male","NC","Violent","More than a year ago","Marijuana,Alcohol",2,"More than one drug","55+",1,0
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","White",39,"Female","OH","Violent","Never used","",0,"None","35-44",0,0
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",37,"Male","TX","Drug","At the time of Arrest","Alcohol",1,"Alcohol","35-44",1,0
2,2,1,0,2,2,1,0,0,0,2,0,0,0,2,"Some College","White",24,"Female","AR","Drug","More than a year ago","Marijuana,Alcohol",2,"More than one drug","18-24",1,0
1,1,1,0,2,1,1,0,0,0,2,0,0,0,2,"Some College","2+ Races",55,"Male","MO","Property","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,1
1,1,1,0,2,2,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",23,"Male","FL","Violent","At the time of Arrest","Alcohol",1,"Alcohol","18-24",1,1
2,2,1,1,1,1,1,0,0,0,2,2,2,2,1,"Less Than High School","White",29,"Male","OK","Drug","At the time of Arrest","Marijuana",1,"Marijuana","25-34",1,1
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"Some College","White",32,"Male","TX","Violent","More than a year ago","Marijuana,Alcohol",2,"More than one drug","25-34",1,0
1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"High School Graduate","White",52,"Male","WI","Violent","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,0
2,0,1,2,2,2,1,0,0,0,2,0,0,0,2,"Less Than High School","White",36,"Female","KY","Drug","More than a year ago","Marijuana,Alcohol",2,"More than one drug","35-44",1,0
1,0,1,1,1,0,1,2,1,0,1,1,1,0,1,"High School Graduate","Black",42,"Male","MD","Drug","At the time of Arrest","Marijuana,Cocaine,Alcohol",3,"More than one drug","35-44",1,0
2,1,1,0,1,1,1,0,2,2,1,0,2,2,1,"High School Graduate","2+ Races",30,"Male","TX","Property","Past 30 days","Marijuana",1,"Marijuana","25-34",1,1
1,2,1,0,2,0,1,0,2,0,1,0,2,0,1,"Less Than High School","Asian/Native Hawaiian/Other Pacific Islander",46,"Male","LA","Violent","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,0
2,0,1,0,1,2,1,0,0,0,2,0,0,0,2,"High School Graduate","Black",22,"Male","CA","Property","Past 30 days","Marijuana",1,"Marijuana","18-24",1,0
2,0,1,2,2,0,1,0,0,0,2,2,2,0,1,"Less Than High School","2+ Races",51,"Male","WV","Violent","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","45-55",1,0
2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,"Less Than High School","2+ Races",39,"Female","VA","Violent","More than a year ago","Marijuana,Heroin,Cocaine,Alcohol",4,"More than one drug","35-44",1,0
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",40,"Male","PA","Property","Past 30 days","Marijuana",1,"Marijuana","35-44",1,1
2,0,1,2,1,1,1,0,0,0,2,1,1,1,1,"High School Graduate","Black",45,"Male","OH","Violent","At the time of Arrest","Cocaine",1,"Cocaine","45-55",1,1
1,1,1,1,1,0,1,0,0,0,2,1,1,0,1,"High School Graduate","Hispanic",32,"Male","CA","Violent","At the time of Arrest","Marijuana,Cocaine,Alcohol",3,"More than one drug","25-34",1,1
2,0,1,0,2,2,1,0,2,2,1,0,2,2,1,"Less Than High School","White",37,"Male","GA","Public order","More than a year ago","Marijuana,Heroin,Cocaine,Alcohol",4,"More than one drug","35-44",1,0
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"High School Graduate","Hispanic",49,"Male","FL","Drug","More than a year ago","Alcohol",1,"Alcohol","45-55",1,0
1,0,1,2,1,0,1,0,0,0,2,1,2,0,1,"Less Than High School","Black",37,"Male","AL","Violent","At the time of Arrest","Cocaine,Alcohol",2,"More than one drug","35-44",1,0
2,1,1,0,1,1,1,0,2,1,1,0,1,1,1,"Less Than High School","2+ Races",49,"Male","MI","Public order","Past 30 days","Marijuana,Cocaine",2,"More than one drug","45-55",1,1
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",20,"Male","IL","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","18-24",1,1
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,"Some College","Black",50,"Male","TX","Public order","More than a year ago","Marijuana,Alcohol",2,"More than one drug","45-55",1,0
2,0,1,2,2,2,1,0,0,0,2,2,2,2,1,"Less Than High School","White",30,"Female","WA","Property","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","25-34",1,0
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,"High School Graduate","Black",24,"Male","MO","Property","At the time of Arrest","Marijuana",1,"Marijuana","18-24",1,1
2,0,1,0,2,2,1,0,0,0,2,0,0,0,2,"High School Graduate","White",52,"Male","NY","Public order","More than a year ago","Marijuana,Alcohol",2,"More than one drug","45-55",1,0
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","2+ Races",42,"Male","AR","Property","Never used","",0,"None","35-44",0,0
2,2,1,1,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",20,"Male","AL","Violent","At the time of Arrest","Marijuana",1,"Marijuana","18-24",1,0
2,0,1,2,2,2,1,2,2,2,1,2,2,2,1,"Some College","2+ Races",29,"Female","WV","Property","More than a year ago","Marijuana,Heroin,Cocaine,Alcohol",4,"More than one drug","25-34",1,0
1,1,1,2,2,2,1,0,0,0,2,1,1,1,1,"Less Than High School","White",35,"Male","NC","Public order","At the time of Arrest","Cocaine,Alcohol",2,"More than one drug","35-44",1,1
2,0,1,0,2,0,1,0,1,0,1,0,2,0,1,"Some College","White",36,"Female","MN","Public order","Past 30 days","Heroin",1,"Heroin","35-44",1,0
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,"Some College","White",62,"Male","OK","Violent","Past 30 days","Marijuana",1,"Marijuana","55+",1,0
2,0,1,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",28,"Male","GA","Violent","At the time of Arrest","Marijuana",1,"Marijuana","25-34",1,1
1,0,1,1,1,1,1,2,1,1,1,2,2,1,1,"Some College","White",45,"Male","CA","Drug","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","45-55",1,1
2,2,1,2,1,0,1,2,2,0,1,2,1,0,1,"Less Than High School","White",33,"Male","PA","Property","Past 30 days","Marijuana,Cocaine",2,"More than one drug","25-34",1,0
2,2,1,0,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",39,"Male","OH","Drug","Past 30 days","Marijuana",1,"Marijuana","35-44",1,1
0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",23,"Male","NY","Violent","Never used","",0,"None","18-24",0,0
2,0,1,0,1,2,1,0,0,0,2,0,2,2,1,"High School Graduate","White",54,"Female","OK","Drug","Past 30 days","Marijuana",1,"Marijuana","45-55",1,0
2,0,1,0,2,2,1,0,2,2,1,0,2,2,1,"Less Than High School","2+ Races",61,"Male","SC","Drug","More than a year ago","Marijuana,Heroin,Cocaine,Alcohol",4,"More than one drug","55+",1,0
0,0,2,2,2,0,1,0,0,0,2,0,0,0,2,"Less Than High School","2+ Races",48,"Male","NY","Violent","More than a year ago","Marijuana",1,"Marijuana","45-55",1,0
2,0,1,0,1,0,1,0,0,0,2,0,0,0,2,"High School Graduate","Black",27,"Male","GA","Violent","Past 30 days","Marijuana",1,"Marijuana","25-34",1,0
2,1,1,0,2,2,1,0,0,0,2,0,0,0,2,"Less Than High School","White",32,"Male","OK","Public order","Past 12 months","Alcohol",1,"Alcohol","25-34",1,1
0,0,2,2,2,0,1,2,2,0,1,2,2,0,1,"Less Than High School","White",34,"Male","TX","Violent","More than a year ago","Marijuana,Heroin,Cocaine",3,"More than one drug","25-34",1,0
1,2,1,1,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","Black",38,"Male","GA","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","35-44",1,0
2,0,1,2,2,2,1,2,1,1,1,1,1,2,1,"Less Than High School","Hispanic",39,"Male","NM","Drug","At the time of Arrest","Cocaine",1,"Cocaine","35-44",1,1
1,0,1,0,2,2,1,0,0,0,2,0,0,0,2,"High School Graduate","White",48,"Female","PA","Public order","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,0
1,1,1,1,1,0,1,0,0,0,2,0,0,0,2,"Less Than High School","White",38,"Female","KY","Drug","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","35-44",1,1
1,2,1,1,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","2+ Races",32,"Male","OH","Violent","At the time of Arrest","Marijuana,Alcohol",2,"More than one drug","25-34",1,1
2,0,1,0,2,2,1,0,0,0,2,0,2,2,1,"Some College","Asian/Native Hawaiian/Other Pacific Islander",54,"Male","NV","Drug","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","45-55",1,0
2,1,1,0,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","White",23,"Male","OH","Violent","Past 30 days","Marijuana",1,"Marijuana","18-24",1,1
2,2,1,0,1,1,1,0,0,0,2,0,1,1,1,"High School Graduate","2+ Races",37,"Male","MD","Drug","Past 30 days","Marijuana,Cocaine",2,"More than one drug","35-44",1,1
2,2,1,2,2,1,1,0,0,0,2,2,2,2,1,"Less Than High School","White",40,"Male","TX","Drug","Past 12 months","Marijuana",1,"Marijuana","35-44",1,1
2,0,1,0,0,0,2,0,0,0,2,0,0,0,2,"College Degree or More","White",72,"Male","AZ","Violent","More than a year ago","Alcohol",1,"Alcohol","55+",1,0
1,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"High School Graduate","White",54,"Male","WA","Violent","At the time of Arrest","Alcohol",1,"Alcohol","45-55",1,0
2,0,1,0,2,0,1,0,0,0,2,0,0,0,2,"Less Than High School","White",42,"Male","TN","Violent","More than a year ago","Marijuana,Alcohol",2,"More than one drug","35-44",1,0
2,1,1,0,1,1,1,0,0,0,2,0,2,2,1,"Less Than High School","Black",37,"Male","GA","Violent","Past 30 days","Marijuana",1,"Marijuana","35-44",1,1
2,0,1,2,1,1,1,0,0,0,2,2,2,1,1,"Some College","White",27,"Male","OK","Violent","Past 30 days","Marijuana",1,"Marijuana","25-34",1,1
2,0,1,0,1,1,1,0,0,0,2,0,0,0,2,"Less Than High School","Hispanic",37,"Male","PA","Violent","Past 30 days","Marijuana",1,"Marijuana","35-44",1,1
2,2,1,0,2,2,1,0,0,0,2,0,2,2,1,"High School Graduate","Hispanic",48,"Male","NV","Property","More than a year ago","Marijuana,Cocaine,Alcohol",3,"More than one drug","45-55",1,0
